type,client,tx,amount
withdrawal,243,5075,4812.5224
dispute,254,858,
withdrawal,448,5077,4441.4393
withdrawal,437,5080,762.3208
deposit,374,5081,535.6587
withdrawal,271,5082,3422.1611
withdrawal,221,5083,8664.1174
withdrawal,273,5084,9737.0554
withdrawal,326,5085,9479.932
deposit,90,5086,6717.8195
dispute,186,15,
withdrawal,17,5089,2545.3923
withdrawal,335,5090,3386.0535
dispute,75,405,
withdrawal,230,5093,6822.0388
resolve,318,2480,
dispute,225,3727,
deposit,125,5096,4893.3628
withdrawal,16,5097,6851.1449
withdrawal,420,5098,3536.9483
deposit,7,5099,8012.16
withdrawal,35,5100,9623.1996
withdrawal,424,5101,7147.8671
deposit,100,5102,3250.6721
deposit,280,5103,2668.3865
deposit,458,5104,8811.0846
deposit,7,5105,5147.5075
deposit,259,5107,8425.7591
resolve,131,1302,
deposit,135,5110,8194.673
deposit,451,5111,4751.6393
deposit,318,5112,156.6804
withdrawal,352,5113,2409.9947
withdrawal,306,5114,9603.4895
withdrawal,263,5115,8039.2473
deposit,291,5116,8848.1074
deposit,392,5117,3061.4444
deposit,162,5118,8375.2669
withdrawal,54,5119,6810.5564
deposit,130,5120,8102.428
chargeback,442,2621,
deposit,130,5122,9045.6811
deposit,426,5123,5924.3366
deposit,84,5124,5680.5637
deposit,53,5125,9853.3198
deposit,338,5126,3919.5798
deposit,419,5127,9834.0709
deposit,296,5129,1678.6647
deposit,63,5130,150.0134
deposit,118,5131,163.7582
withdrawal,355,5132,4340.2712
deposit,59,5133,5079.7239
withdrawal,324,5134,7148.9447
deposit,63,5135,8178.4808
deposit,97,5136,2888.3501
deposit,476,5138,6411.8917
deposit,44,5139,7861.9017
deposit,142,5140,1950.6791
withdrawal,159,5141,8320.7432
deposit,405,5142,1986.3589
withdrawal,469,5144,8173.88
deposit,428,5146,9029.4909
withdrawal,24,5147,4221.3959
withdrawal,48,5148,9161.4826
dispute,154,3083,
resolve,361,987,
dispute,1,1408,
withdrawal,205,5152,7724.4868
deposit,241,5153,3673.4752
resolve,288,2859,
deposit,281,5155,3779.8285
withdrawal,372,5156,1593.8968
deposit,311,5157,5280.0169
deposit,277,5158,4725.3118
withdrawal,350,5159,7816.1112
withdrawal,38,5160,8028.7046
withdrawal,220,5161,8439.0857
withdrawal,292,5162,234.7129
deposit,305,5163,9432.7369
withdrawal,68,5164,4546.0667
deposit,494,5165,3802.0241
chargeback,155,1486,
withdrawal,185,5168,9715.1827
withdrawal,61,5169,2908.5825
deposit,47,5170,4883.2892
deposit,198,5171,966.6234
withdrawal,48,5173,9399.7139
deposit,224,5174,1409.9918
deposit,483,5175,4493.3417
deposit,375,5177,1053.2527
withdrawal,284,5178,3729.1113
deposit,164,5180,29.8586
withdrawal,296,5181,4969.9527
chargeback,1,1408,
withdrawal,26,5183,2196.3534
resolve,361,680,
deposit,487,5185,2113.5099
withdrawal,70,5186,9918.8028
withdrawal,258,5187,8874.3542
dispute,454,141,
deposit,46,5189,1610.0167
dispute,135,3133,
dispute,483,4929,
withdrawal,247,5193,9429.7685
deposit,329,5194,915.5768
deposit,295,5195,6104.5737
deposit,433,5196,9810.5677
deposit,337,5197,4274.6093
dispute,117,3547,
deposit,421,5200,439.4576
withdrawal,237,5201,5936.8907
withdrawal,349,5202,2565.0004
chargeback,359,1100,
deposit,168,5205,8107.4709
deposit,304,5207,8652.1799
withdrawal,212,5208,2791.0064
chargeback,242,461,
dispute,104,3559,
dispute,110,87,
deposit,133,5213,3518.5983
withdrawal,288,5214,2218.5686
withdrawal,94,5215,2134.1442
deposit,132,5217,3374.6137
deposit,471,5218,4056.9101
dispute,140,3008,
deposit,382,5220,5883.2718
resolve,113,2756,
deposit,477,5222,5472.0775
deposit,496,5223,3826.8682
resolve,409,168,
deposit,469,5225,3309.1524
withdrawal,28,5226,9270.1928
withdrawal,361,5227,4490.4074
withdrawal,172,5228,9609.2484
deposit,82,5229,7292.1361
withdrawal,5,5230,9023.2311
withdrawal,167,5231,6289.8117
chargeback,159,867,
dispute,53,1422,
withdrawal,52,5234,948.4525
withdrawal,352,5235,8054.6076
dispute,361,4933,
chargeback,352,4717,
withdrawal,13,5238,9193.8532
chargeback,162,252,
deposit,482,5240,9982.1107
deposit,458,5241,1823.2266
withdrawal,462,5242,8719.3575
withdrawal,31,5243,7595.706
deposit,57,5245,9065.1495
dispute,325,2755,
withdrawal,225,5248,999.8307
withdrawal,305,5250,7083.2616
deposit,303,5251,9134.6394
withdrawal,34,5253,2879.1684
withdrawal,347,5254,7728.8407
deposit,7,5255,31.0389
deposit,179,5256,8782.9905
withdrawal,220,5257,645.0302
deposit,278,5258,9554.1622
deposit,335,5259,9598.4837
deposit,184,5260,9093.1164
deposit,352,5261,458.0004
deposit,199,5262,4076.1632
deposit,250,5263,6441.6091
deposit,204,5264,737.8037
deposit,257,5267,7166.8478
deposit,490,5268,5703.1897
withdrawal,148,5269,8619.0183
withdrawal,11,5270,4585.3042
deposit,168,5272,6329.1982
withdrawal,425,5273,2125.9532
deposit,195,5274,8988.5406
withdrawal,95,5275,5372.8519
deposit,95,5276,6615.2531
dispute,294,2613,
withdrawal,405,5278,8560.2586
deposit,36,5279,5713.6055
chargeback,330,4464,
deposit,24,5281,6372.43
withdrawal,492,5282,5104.857
deposit,125,5283,884.7741
deposit,202,5284,6163.0468
withdrawal,4,5285,9576.92
withdrawal,289,5288,3233.4529
dispute,290,3496,
deposit,160,5291,2310.2208
deposit,432,5292,7973.5977
withdrawal,453,5293,3701.0699
withdrawal,267,5294,4619.9755
dispute,238,917,
deposit,465,5296,8011.7299
deposit,432,5297,1810.1445
dispute,221,765,
dispute,332,1233,
chargeback,269,422,
deposit,466,5302,6864.2681
deposit,290,5303,7728.2527
withdrawal,258,5304,3323.8252
withdrawal,282,5305,5690.1815
withdrawal,238,5306,1675.6265
deposit,354,5307,7088.5884
dispute,385,4670,
deposit,246,5309,672.6202
deposit,193,5310,5085.6947
deposit,298,5311,8037.2545
withdrawal,142,5312,8662.4602
deposit,337,5313,1682.0455
deposit,387,5314,540.6894
withdrawal,283,5315,5367.0091
dispute,321,994,
withdrawal,46,5318,9874.0424
deposit,336,5319,9245.6231
deposit,441,5320,661.3239
chargeback,309,2025,
dispute,65,2493,
deposit,19,5324,2770.7052
deposit,366,5325,8523.9007
dispute,436,515,
dispute,191,836,
withdrawal,258,5329,8863.4725
deposit,209,5330,29.8555
deposit,423,5331,9349.0924
withdrawal,226,5332,3979.4387
deposit,300,5333,1321.0597
deposit,37,5334,9906.6928
deposit,46,5335,4697.2949
dispute,194,673,
dispute,299,4902,
dispute,484,3827,
withdrawal,35,5340,1622.8614
deposit,291,5341,9388.9209
deposit,215,5342,3669.558
resolve,286,1550,
dispute,120,2394,
withdrawal,293,5346,3621.1459
withdrawal,31,5347,7788.2504
deposit,402,5348,4410.3117
deposit,221,5349,6848.8932
withdrawal,214,5351,6472.5851
deposit,193,5352,1295.6282
withdrawal,87,5353,8820.7599
deposit,61,5354,2558.0085
deposit,403,5355,9196.4319
withdrawal,379,5356,2666.284
deposit,78,5357,5338.4756
withdrawal,317,5359,1476.0416
dispute,123,4044,
withdrawal,337,5361,2637.4335
deposit,103,5362,8873.7282
resolve,145,2594,
deposit,342,5365,2249.9036
dispute,134,4540,
deposit,415,5367,787.7771
withdrawal,428,5368,4057.2722
resolve,192,292,
withdrawal,443,5370,9161.4599
withdrawal,289,5371,3308.9209
withdrawal,233,5372,7217.7352
dispute,483,5175,
withdrawal,289,5375,3930.8816
dispute,477,5222,
withdrawal,221,5377,1265.6051
withdrawal,91,5378,222.238
chargeback,474,2852,
withdrawal,306,5382,5757.5901
withdrawal,204,5383,1818.0568
resolve,437,2902,
dispute,446,274,
withdrawal,93,5387,527.3387
dispute,342,5365,
dispute,406,4093,
dispute,155,622,
deposit,232,5392,6578.197
deposit,235,5393,300.8468
deposit,331,5394,4957.3285
dispute,272,946,
withdrawal,478,5396,7299.1648
withdrawal,229,5397,3184.0381
withdrawal,108,5398,7391.5047
withdrawal,91,5399,2598.3561
withdrawal,433,5400,487.0457
deposit,255,5401,8697.0666
withdrawal,271,5403,8753.2455
withdrawal,421,5404,4628.5281
withdrawal,68,5405,6820.0038
withdrawal,209,5406,35.0496
deposit,359,5408,8136.9003
deposit,478,5409,9275.7881
deposit,189,5410,364.6291
deposit,472,5411,7295.1528
withdrawal,34,5412,4631.6839
resolve,434,451,
deposit,14,5414,9676.6279
dispute,271,4476,
dispute,254,3191,
withdrawal,63,5418,3511.2932
withdrawal,79,5419,1760.9266
deposit,370,5420,5756.5592
resolve,324,2937,
chargeback,66,2310,
deposit,350,5423,1484.4376
withdrawal,78,5424,2269.1675
deposit,316,5425,15.2403
withdrawal,116,5427,4268.788
deposit,260,5428,4695.9548
withdrawal,24,5430,6071.7358
dispute,404,3364,
deposit,196,5432,4914.4306
withdrawal,80,5433,6448.4168
chargeback,488,1823,
deposit,348,5435,7061.1637
withdrawal,391,5437,7793.7277
withdrawal,245,5438,7537.7628
deposit,68,5439,9821.5408
deposit,79,5440,9196.5068
deposit,261,5441,7544.0588
deposit,150,5442,3461.7151
deposit,418,5444,1787.2035
deposit,491,5445,3770.8924
dispute,421,2797,
withdrawal,191,5447,2423.1895
withdrawal,460,5448,8645.068
deposit,126,5449,5316.1948
withdrawal,140,5450,2758.5213
withdrawal,424,5451,6690.3549
dispute,118,5131,
deposit,335,5453,136.507
withdrawal,338,5454,1745.9733
withdrawal,339,5455,6640.038
withdrawal,118,5456,6568.8529
withdrawal,198,5457,7907.7508
withdrawal,24,5458,5687.201
deposit,410,5459,3683.5061
dispute,220,4323,
withdrawal,40,5461,3300.1532
deposit,140,5462,5762.7435
deposit,193,5463,5909.7552
withdrawal,231,5464,8048.7306
deposit,31,5465,8112.2235
withdrawal,10,5466,9763.9676
withdrawal,342,5467,961.8437
deposit,374,5468,3075.5025
deposit,482,5469,7519.2258
resolve,221,765,
withdrawal,273,5471,4060.4284
dispute,290,5303,
withdrawal,38,5473,8932.0704
deposit,119,5474,1319.3842
deposit,334,5475,4604.3622
withdrawal,174,5476,6487.8347
deposit,216,5477,9407.1055
withdrawal,351,5478,2030.95
withdrawal,309,5479,3288.8279
withdrawal,97,5480,1817.7083
deposit,64,5481,1211.3928
deposit,36,5482,7746.1828
resolve,249,260,
withdrawal,289,5484,4799.8995
deposit,365,5485,4209.2281
withdrawal,288,5486,3092.5591
withdrawal,153,5488,9233.6491
dispute,454,4827,
withdrawal,18,5491,331.2295
withdrawal,209,5492,6990.6169
withdrawal,241,5493,9750.5399
deposit,290,5494,9628.8977
withdrawal,226,5495,1374.3945
withdrawal,357,5496,2059.6806
withdrawal,356,5497,7190.4394
deposit,92,5498,1615.9585
deposit,83,5499,4266.238
withdrawal,202,5502,4140.0611
withdrawal,223,5503,7537.4388
chargeback,448,879,
withdrawal,114,5505,7855.8604
resolve,406,4093,
chargeback,292,4901,
deposit,297,5509,5749.6242
deposit,136,5511,1461.8953
withdrawal,25,5512,1283.9087
deposit,371,5513,9883.2834
dispute,329,5194,
deposit,128,5516,9977.0659
deposit,390,5517,612.9782
withdrawal,89,5518,7617.0755
withdrawal,246,5519,1927.9712
deposit,173,5521,8591.5759
deposit,65,5522,430.0644
withdrawal,143,5523,3815.633
deposit,33,5524,5666.1687
withdrawal,422,5525,1067.2542
withdrawal,399,5526,3333.8512
dispute,202,5284,
withdrawal,170,5528,9638.4598
deposit,313,5530,2611.6535
deposit,185,5531,2594.4897
deposit,168,5532,847.336
dispute,115,4959,
deposit,454,5534,1905.7465
deposit,209,5535,335.8212
withdrawal,128,5536,2928.2582
deposit,136,5537,188.147
withdrawal,119,5538,5044.8425
withdrawal,355,5539,7814.5281
chargeback,277,344,
chargeback,406,2698,
resolve,363,2997,
deposit,386,5543,1530.7534
withdrawal,413,5544,4382.1036
withdrawal,147,5545,1884.0481
withdrawal,20,5546,585.3951
withdrawal,117,5547,9472.5446
withdrawal,84,5548,4221.8209
withdrawal,174,5549,7298.5973
dispute,386,3759,
deposit,103,5551,6236.4612
deposit,120,5552,1345.286
deposit,206,5553,2156.0469
deposit,450,5554,2195.3764
withdrawal,130,5555,678.1404
withdrawal,355,5556,7833.3488
withdrawal,439,5558,6097.1155
dispute,178,3280,
deposit,329,5561,783.3408
deposit,463,5562,7347.4265
dispute,285,4582,
withdrawal,121,5564,7167.672
dispute,487,502,
deposit,277,5566,9465.5336
deposit,410,5567,909.5789
deposit,368,5568,6619.512
withdrawal,68,5569,585.8384
withdrawal,326,5573,8248.5779
deposit,212,5574,9256.6674
deposit,26,5575,5368.6925
withdrawal,472,5576,6289.5941
deposit,174,5577,1799.6072
withdrawal,163,5578,3853.3886
withdrawal,389,5579,9148.6661
withdrawal,128,5581,5734.4608
deposit,482,5582,998.1971
deposit,44,5583,1193.1389
dispute,235,86,
withdrawal,357,5585,8073.6168
deposit,381,5586,4544.6916
deposit,356,5588,5983.0441
withdrawal,181,5589,6944.7548
deposit,92,5590,4940.4235
withdrawal,89,5591,9453.5191
deposit,384,5592,5576.0056
withdrawal,94,5593,8571.693
withdrawal,77,5594,1762.2995
withdrawal,348,5595,5911.435
deposit,331,5596,9087.8075
dispute,379,2669,
withdrawal,500,5598,4428.7434
chargeback,464,1527,
withdrawal,431,5600,118.424
deposit,238,5601,104.2336
withdrawal,192,5602,7659.7864
withdrawal,351,5603,1895.4754
withdrawal,350,5604,6239.5165
withdrawal,463,5605,6346.9737
withdrawal,108,5606,4141.7343
withdrawal,138,5607,4742.1788
withdrawal,407,5608,5672.82
withdrawal,9,5609,3493.5475
deposit,43,5610,278.7418
deposit,189,5611,1509.9429
withdrawal,147,5612,9240.6815
dispute,489,2576,
withdrawal,22,5614,3158.7306
dispute,341,4162,
deposit,224,5616,6457.8803
resolve,392,2811,
withdrawal,194,5619,6235.4003
withdrawal,14,5620,971.8633
dispute,276,648,
deposit,140,5623,7044.0204
deposit,81,5624,1768.6254
deposit,78,5625,7821.3276
chargeback,191,836,
withdrawal,191,5627,5434.8552
withdrawal,275,5628,2980.2446
deposit,5,5629,5308.8521
deposit,135,5630,3895.2447
dispute,429,1826,
withdrawal,407,5633,4422.9994
withdrawal,269,5634,5208.289
withdrawal,206,5636,7489.5944
deposit,67,5638,1118.8188
dispute,73,2277,
deposit,92,5640,172.0604
withdrawal,354,5641,1631.7884
deposit,130,5642,2814.7637
withdrawal,444,5644,8627.1458
withdrawal,229,5645,5881.687
chargeback,305,859,
deposit,354,5647,5137.359
deposit,102,5648,571.0736
withdrawal,449,5649,210.3468
dispute,353,2420,
deposit,3,5651,7480.2094
withdrawal,277,5652,1886.332
deposit,50,5653,3267.048
deposit,92,5654,5498.7833
deposit,399,5657,597.3533
withdrawal,204,5658,1640.977
dispute,235,1156,
dispute,313,3728,
deposit,418,5662,5057.0762
withdrawal,326,5663,1771.1543
withdrawal,233,5664,5521.9476
dispute,1,839,
deposit,340,5667,2012.0497
dispute,116,668,
deposit,345,5669,3493.9268
deposit,96,5670,5284.0214
withdrawal,49,5674,7555.421
deposit,371,5675,63.7332
dispute,461,4997,
withdrawal,439,5677,2474.3755
withdrawal,39,5678,6067.3813
withdrawal,490,5679,9182.2907
withdrawal,356,5680,5795.9744
withdrawal,274,5681,3500.0852
deposit,255,5682,9906.7669
resolve,421,2797,
withdrawal,193,5684,5339.1319
withdrawal,392,5685,5747.8867
withdrawal,49,5686,2042.196
deposit,316,5687,3434.9425
withdrawal,115,5688,6283.1175
deposit,454,5690,4451.073
withdrawal,322,5691,4231.0906
withdrawal,156,5692,5741.369
deposit,203,5693,5532.9047
withdrawal,305,5694,2549.8461
withdrawal,181,5695,4056.8754
chargeback,39,929,
withdrawal,411,5697,1126.3331
withdrawal,237,5698,5190.3565
withdrawal,323,5699,7331.0283
resolve,275,916,
dispute,150,5442,
deposit,136,5702,7923.5601
withdrawal,86,5703,8758.507
dispute,168,4033,
withdrawal,84,5705,391.8061
deposit,205,5706,181.7638
withdrawal,279,5707,3586.334
deposit,1,5709,8749.4654
withdrawal,412,5710,3051.9076
deposit,418,5711,6188.9249
deposit,378,5712,5533.7688
withdrawal,122,5714,7883.2396
deposit,469,5715,2129.3278
withdrawal,348,5716,7597.9631
withdrawal,207,5717,6450.8481
resolve,9,656,
withdrawal,150,5719,7672.7739
resolve,99,211,
withdrawal,230,5721,9139.8921
deposit,468,5722,5308.6641
deposit,83,5723,313.2688
deposit,455,5725,2310.031
withdrawal,471,5726,1316.1355
resolve,305,1570,
withdrawal,141,5728,5586.7023
withdrawal,476,5729,1649.182
deposit,482,5730,7874.187
withdrawal,65,5731,6113.207
resolve,224,2020,
deposit,478,5733,1843.1838
deposit,438,5734,3318.5204
deposit,151,5736,2586.9393
withdrawal,158,5737,3036.4364
withdrawal,148,5738,3724.2818
withdrawal,115,5739,1708.0538
withdrawal,116,5741,8304.5366
withdrawal,497,5742,7286.8129
deposit,112,5743,34.2397
deposit,128,5744,9465.102
dispute,477,4421,
withdrawal,74,5747,4947.0401
withdrawal,167,5751,1703.9415
withdrawal,431,5752,1014.9301
resolve,60,2575,
withdrawal,189,5754,666.5346
deposit,25,5756,2584.0052
withdrawal,233,5757,2303.9805
withdrawal,188,5758,7724.0002
withdrawal,153,5759,1122.2377
withdrawal,298,5761,1995.1885
dispute,149,3088,
deposit,171,5763,2223.2331
withdrawal,64,5764,832.3757
deposit,404,5765,2397.2196
deposit,330,5766,4271.813
deposit,20,5767,8121.0385
deposit,286,5768,4799.7103
withdrawal,244,5769,8272.272
deposit,223,5770,3135.2959
withdrawal,63,5771,4086.5284
withdrawal,426,5772,7289.6565
deposit,402,5774,5119.3287
withdrawal,443,5775,6855.9052
withdrawal,97,5776,4966.1437
withdrawal,377,5777,9335.2201
dispute,304,4009,
withdrawal,159,5779,1366.3806
withdrawal,310,5780,6291.4207
withdrawal,221,5781,527.5302
deposit,301,5782,6895.2478
withdrawal,58,5783,4797.4259
deposit,296,5784,8326.7705
dispute,351,2044,
withdrawal,361,5786,6636.0477
chargeback,149,3088,
withdrawal,151,5788,6192.9125
withdrawal,190,5790,8239.0283
withdrawal,456,5791,7542.583
chargeback,65,2493,
deposit,27,5793,4411.6327
deposit,299,5794,8200.1968
deposit,154,5795,6393.3382
deposit,474,5798,7899.2857
resolve,407,1220,
deposit,268,5801,7261.4684
withdrawal,327,5802,7520.103
deposit,435,5803,5781.6444
chargeback,313,3728,
withdrawal,41,5805,5764.801
chargeback,337,3087,
withdrawal,240,5809,3156.9133
withdrawal,107,5811,895.2133
deposit,425,5812,7545.6871
chargeback,238,917,
withdrawal,164,5814,200.7319
deposit,382,5815,7872.8608
deposit,41,5816,8528.46
withdrawal,243,5817,3496.2678
withdrawal,31,5819,8263.6915
deposit,409,5820,428.1223
deposit,168,5821,2994.0693
withdrawal,366,5822,697.7183
dispute,176,4102,
withdrawal,41,5825,5097.0604
deposit,307,5826,2090.6489
dispute,165,3935,
withdrawal,188,5830,4504.1773
withdrawal,127,5831,8607.881
withdrawal,421,5832,5681.4301
deposit,183,5833,1013.5186
deposit,149,5834,6600.5863
deposit,430,5835,4715.8964
deposit,94,5836,5447.478
deposit,210,5838,2950.5577
withdrawal,267,5839,2564.9911
dispute,419,5127,
chargeback,325,2755,
withdrawal,471,5844,429.4941
dispute,192,767,
deposit,343,5846,1354.5538
deposit,110,5847,4866.5774
deposit,107,5848,2633.7079
withdrawal,133,5849,1161.4763
withdrawal,387,5850,7942.675
withdrawal,475,5851,5751.7519
withdrawal,23,5852,2602.0172
chargeback,388,1010,
withdrawal,89,5854,9384.9063
withdrawal,261,5855,8711.8165
chargeback,387,4734,
deposit,64,5859,213.7086
deposit,496,5860,7888.573
withdrawal,388,5861,7756.821
deposit,485,5863,5073.064
withdrawal,106,5864,6519.3438
withdrawal,120,5866,7610.0484
withdrawal,231,5867,943.8366
deposit,368,5868,6227.2639
dispute,58,4601,
dispute,263,638,
withdrawal,96,5871,1333.2694
deposit,35,5873,8623.7021
chargeback,120,2394,
withdrawal,335,5875,1340.3711
dispute,138,197,
withdrawal,254,5878,997.9481
withdrawal,111,5879,9978.3085
dispute,123,47,
withdrawal,319,5881,988.808
dispute,374,5468,
withdrawal,382,5885,8655.636
deposit,295,5886,1775.3832
dispute,41,2662,
withdrawal,95,5888,8323.9849
deposit,356,5889,1724.741
deposit,52,5890,355.4249
withdrawal,157,5891,993.0684
withdrawal,196,5892,120.9801
deposit,280,5893,561.8494
deposit,477,5894,318.9435
withdrawal,122,5896,7214.6956
deposit,36,5897,4093.2923
deposit,279,5898,3390.3026
deposit,244,5899,600.265
withdrawal,254,5900,9553.1942
deposit,111,5902,1895.8761
withdrawal,399,5903,1717.4801
withdrawal,48,5904,5664.1499
deposit,381,5905,6551.2047
deposit,254,5906,250.4923
withdrawal,422,5907,7435.0716
withdrawal,406,5908,1110.4824
deposit,86,5909,4740.136
withdrawal,4,5910,2449.5392
dispute,28,2042,
deposit,389,5912,1837.4876
withdrawal,74,5913,154.9521
withdrawal,176,5914,7553.5328
chargeback,73,2277,
withdrawal,9,5916,7419.3363
dispute,229,3648,
deposit,193,5918,6744.355
withdrawal,216,5919,3158.7469
resolve,116,668,
withdrawal,41,5921,7202.2808
dispute,13,4156,
withdrawal,424,5924,1120.3556
deposit,19,5925,5750.1497
deposit,57,5926,1708.1246
withdrawal,221,5927,9933.6839
withdrawal,360,5928,2553.7373
withdrawal,285,5929,1269.8902
deposit,238,5930,9078.6382
withdrawal,257,5931,4562.4089
deposit,13,5932,4383.7817
deposit,337,5933,9767.2302
withdrawal,57,5934,2916.4676
deposit,434,5935,4372.395
deposit,23,5936,3930.9882
dispute,493,4129,
deposit,403,5938,2786.7463
withdrawal,138,5939,4491.0247
deposit,487,5940,1173.5663
resolve,294,2613,
deposit,141,5942,7144.4446
deposit,5,5943,1993.8193
deposit,373,5944,8662.333
dispute,184,2297,
deposit,390,5946,207.1912
deposit,281,5947,7933.0011
resolve,381,3919,
deposit,123,5949,34.5835
deposit,267,5950,1214.0595
deposit,61,5951,232.4034
deposit,48,5953,8204.1794
deposit,72,5954,9338.2542
chargeback,380,3116,
withdrawal,367,5956,90.0549
chargeback,408,2837,
dispute,246,5309,
withdrawal,21,5960,6843.2849
deposit,128,5961,7230.4022
dispute,126,5449,
dispute,268,3567,
withdrawal,340,5964,6943.3345
withdrawal,169,5965,1501.6622
withdrawal,10,5966,8049.3937
withdrawal,341,5967,2035.3294
withdrawal,391,5968,4111.747
withdrawal,229,5969,2834.5521
resolve,456,1490,
deposit,227,5971,955.8098
deposit,282,5972,8101.323
deposit,260,5974,6526.53
withdrawal,263,5975,9681.4917
dispute,77,4946,
deposit,18,5977,4969.3097
deposit,353,5978,4676.2223
dispute,405,5142,
deposit,211,5980,3445.0637
withdrawal,233,5981,872.812
deposit,318,5982,5517.053
deposit,170,5983,6866.4997
deposit,481,5984,7863.2315
deposit,499,5985,2869.3601
dispute,444,345,
deposit,32,5987,2191.4136
deposit,136,5988,538.7673
deposit,66,5989,4583.3541
deposit,16,5990,2005.8378
withdrawal,463,5991,687.3692
withdrawal,46,5992,9465.0925
withdrawal,367,5993,7354.5499
chargeback,223,988,
chargeback,196,1729,
deposit,46,6000,3660.1435
resolve,321,994,
withdrawal,133,6004,831.6585
deposit,210,6005,9402.0723
deposit,388,6006,8260.6755
withdrawal,2,6008,7036.2201
dispute,199,5262,
deposit,439,6010,9563.9703
deposit,151,6014,6624.2522
deposit,297,6015,3616.6946
deposit,19,6016,8062.9576
withdrawal,156,6017,9934.2238
deposit,499,6018,3132.7569
dispute,140,5623,
resolve,158,2528,
deposit,281,6021,1509.0081
dispute,310,5064,
deposit,183,6024,172.9019
withdrawal,205,6025,8010.4975
dispute,330,2858,
dispute,344,4931,
deposit,280,6028,4636.5295
dispute,2,4325,
withdrawal,158,6030,5004.9275
deposit,443,6031,7240.4325
withdrawal,271,6032,5368.8666
deposit,208,6033,3473.8196
dispute,51,722,
withdrawal,47,6035,3110.7098
deposit,96,6037,1185.5202
withdrawal,206,6038,42.9087
deposit,485,6039,1005.7007
withdrawal,374,6040,529.661
deposit,30,6041,9995.0256
withdrawal,104,6042,5508.0371
deposit,304,6043,802.7389
deposit,414,6044,2099.3562
dispute,471,1576,
withdrawal,51,6047,7619.5139
deposit,285,6048,8846.3764
deposit,388,6049,7605.8356
deposit,482,6050,7217.8636
withdrawal,133,6051,8454.1646
withdrawal,326,6052,8673.4897
deposit,472,6053,771.3361
deposit,491,6054,3377.6337
withdrawal,473,6056,5226.3398
withdrawal,2,6057,5987.8443
withdrawal,240,6059,1058.7304
deposit,15,6060,7792.1932
dispute,241,3267,
withdrawal,458,6062,2513.8908
withdrawal,275,6064,8375.1752
withdrawal,21,6065,5597.0223
dispute,55,1150,
deposit,409,6067,6737.6904
withdrawal,367,6068,4655.7553
deposit,497,6069,1697.9947
withdrawal,132,6070,1942.3524
withdrawal,394,6071,9640.1236
withdrawal,300,6073,6025.0458
withdrawal,391,6074,8469.3124
withdrawal,133,6075,200.2111
withdrawal,411,6076,663.8659
deposit,318,6077,5781.0638
dispute,469,4560,
deposit,165,6079,8387.4569
deposit,459,6080,3884.5635
deposit,3,6081,2176.6386
withdrawal,187,6082,8927.9876
deposit,81,6083,7028.4599
deposit,356,6084,5779.2952
withdrawal,148,6085,5034.3888
withdrawal,113,6086,9128.8343
deposit,379,6087,8140.6602
dispute,162,716,
deposit,52,6089,3771.1928
withdrawal,369,6090,6983.1606
dispute,207,3829,
deposit,282,6094,3259.1905
withdrawal,420,6095,9120.9276
deposit,216,6096,4906.3492
deposit,404,6098,3201.2529
withdrawal,127,6099,7444.8555
chargeback,469,4560,
withdrawal,395,6101,9076.1661
dispute,169,2291,
withdrawal,304,6103,5067.3898
deposit,175,6104,3764.4291
withdrawal,481,6105,1608.6008
deposit,376,6106,2957.0624
withdrawal,150,6107,7717.247
withdrawal,240,6109,647.5139
deposit,53,6110,612.4002
withdrawal,257,6111,3843.3565
chargeback,135,3133,
chargeback,329,5194,
deposit,371,6114,4867.2731
dispute,158,3703,
withdrawal,398,6116,2965.772
chargeback,38,863,
withdrawal,236,6118,499.0556
withdrawal,289,6119,7706.0076
withdrawal,202,6120,9812.6705
withdrawal,458,6121,9970.3199
withdrawal,230,6122,1361.9313
withdrawal,229,6123,6832.2432
deposit,74,6124,8596.8083
withdrawal,362,6125,2083.2499
withdrawal,214,6127,6037.8168
dispute,259,5107,
dispute,209,5535,
withdrawal,409,6131,5913.6265
withdrawal,120,6132,7801.9408
deposit,399,6133,3469.1845
deposit,14,6134,4743.1794
deposit,296,6135,9569.974
withdrawal,168,6136,4291.214
dispute,132,5217,
withdrawal,350,6138,4115.5274
withdrawal,364,6140,1588.6934
deposit,436,6141,2413.1594
deposit,401,6142,8450.9371
withdrawal,245,6143,7496.0422
deposit,67,6144,1803.4435
deposit,362,6145,4821.9712
resolve,55,1150,
resolve,62,875,
withdrawal,85,6149,1576.9886
deposit,453,6150,2890.2122
deposit,429,6151,324.787
deposit,5,6153,1872.6173
withdrawal,461,6154,9949.0232
dispute,292,861,
withdrawal,456,6156,2687.1076
withdrawal,425,6157,5464.1255
withdrawal,445,6158,8835.4972
deposit,389,6159,8062.4281
deposit,42,6160,4457.0366
withdrawal,399,6161,6852.8236
deposit,482,6162,2087.5771
resolve,212,695,
deposit,470,6164,8528.2626
chargeback,442,219,
dispute,143,2022,
deposit,469,6167,9579.0693
withdrawal,32,6169,6158.2065
dispute,314,1844,
deposit,358,6171,1273.0784
withdrawal,359,6172,1802.6435
deposit,441,6173,8222.6423
deposit,114,6174,2985.3529
withdrawal,396,6175,595.9373
withdrawal,426,6176,4526.1724
deposit,331,6177,4536.7192
withdrawal,86,6178,3559.6213
